"","CODE_IRIS","NB_NIV","n","poidsFitAIC","poidsFitCHI2"
"399",341720106,7,3,0.00979876398364897,0.0294596722688479
"400",341720101,1,164,0.419804192547857,0.223649371889307
"401",341720101,2,239,0.32359685897818,0.148129412389631
"402",341720101,3,60,0.166291696620136,0.0981103708431494
"403",341720101,4,10,0.0640911544663694,0.0649813208038763
"404",341720101,5,15,0.0197613045717624,0.043038997988979
"405",341720101,6,5,0.00507752280884654,0.0285059664066545
"406",341722301,1,125,0.465648906736447,0.21676974882005
"407",341722301,2,139,0.248820002391599,0.147900192874671
"408",341722301,3,60,0.132957240303791,0.100911068871163
"409",341722301,4,15,0.0710458467136355,0.0688507812112839
"410",341722301,5,23,0.0379634258632659,0.0469763141589191
"411",341722301,6,2,0.020285798114066,0.0320515476096849
"412",341722301,7,1,0.0108397383999749,0.0218685037889642
"413",341722301,8,0,0.00579222606471749,0.014920697864319
"414",341722301,9,1,0.00309508233011144,0.0101802677909149
"415",341720705,1,38,0.247051975188353,0.200576465893278
"416",341720705,2,65,0.290794725356836,0.144879198186732
"417",341720705,3,23,0.228188345740845,0.104648279516495
"418",341720705,4,17,0.13429556124526,0.0755889219627487
"419",341720705,5,21,0.0632295140634819,0.0545989398955182
"420",341720705,6,1,0.0248082873553474,0.0394375810675473
"421",341720705,7,3,0.00834309009854723,0.0284863186617848
"422",341720802,1,61,0.298706050632825,0.208690464600981
"423",341720802,2,98,0.309325932867872,0.146761041930484
"424",341720802,3,69,0.21354892218592,0.103209331915111
"425",341720802,4,24,0.110570608509846,0.072581701889314
"426",341720802,5,10,0.0458006880712549,0.0510428984607926
"427",341720802,6,3,0.0158096792634064,0.0358957893719818
"428",341722303,1,77,0.350998741351102,0.215760433433892
"429",341722303,2,96,0.320111088373039,0.14780439029215
"430",341722303,3,31,0.194627685377501,0.101251825656569
"431",341722303,4,20,0.0887502900350809,0.0693614863437027
"432",341722303,5,16,0.0323761297002878,0.0475153485540685
"433",341722302,1,108,0.404095423460208,0.20497323126999
"434",341722302,2,135,0.240802312198723,0.14598093493399
"435",341722302,3,94,0.143495199880583,0.10396690939673
"436",341722302,4,43,0.0855094463203316,0.0740447254594957
"437",341722302,5,16,0.0509554703996693,0.0527342920952937
"438",341722302,6,11,0.0303645980109009,0.0375571054593616
"439",341722302,7,4,0.0180944029194869,0.0267479872098538
"440",341722302,8,2,0.0107825375094772,0.0190497859467007
"441",341722901,1,84,0.287498194076233,0.207034212565561
"442",341722901,2,135,0.306007044060937,0.146431551910972
"443",341722901,3,133,0.217138317026744,0.10356838673833
"444",341722901,4,42,0.11555873378478,0.0732520456936888
"445",341722901,5,12,0.0491993164054847,0.0518098462986332
"446",341720803,1,131,0.381387843842267,0.219425557156726
"447",341720803,2,220,0.323067339076214,0.148080542182236
"448",341720803,3,67,0.182443335592961,0.0999329670486959
"449",341720803,4,11,0.0772723671111335,0.0674403115762888
"450",341720803,5,14,0.0261824580198617,0.045512464603304
