CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
341640000,365991,3,3,1,3,2,6,2,2,0.816496580927726,1,1,1.5,2.5,1
343370103,224165,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
341721103,235689,2,2,5,6,1,11,5.5,5.5,0.5,5,5,5,6,1
341720705,232199,2,2,4,5,1,9,4.5,4.5,0.5,4,4,4,5,1
340900101,336793,7,2,1,3,2,9,1.28571428571429,1,0.699854212223765,3,1,1,1,0
340570107,300566,4,2,1,2,1,6,1.5,1.5,0.5,1,1,1,2,1
341290107,254243,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341720202,275263,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
340900103,332663,8,2,1,2,1,13,1.625,2,0.484122918275927,1,2,1,2,1
341722302,250674,3,2,3,4,1,10,3.33333333333333,3,0.471404520791032,4,3,3,3.5,0.5
341721802,279446,6,1,6,6,0,36,6,6,0,6,6,6,6,0
340270000,441288,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
340870000,68863,9,2,1,2,1,10,1.11111111111111,1,0.314269680527354,2,1,1,1,0
340220101,412051,5,1,1,1,0,5,1,1,0,1,1,1,1,0
341290109,328788,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341290101,292523,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341290109,275449,1,1,1,1,0,1,1,1,0,1,1,1,1,0
340900103,329252,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341720707,218535,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341721002,232928,8,2,1,2,1,9,1.125,1,0.330718913883074,2,1,1,1,0
341720106,237637,3,1,1,1,0,3,1,1,0,1,1,1,1,0
341720101,245169,8,2,1,2,1,13,1.625,2,0.484122918275927,1,2,1,2,1
341720301,247868,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340950103,142070,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341720704,221929,7,1,1,1,0,7,1,1,0,1,1,1,1,0
340880101,43513,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341720802,239737,3,2,2,5,3,9,3,2,1.4142135623731,5,2,2,3.5,1.5
341720701,217856,7,2,1,2,1,12,1.71428571428571,2,0.451753951452626,1,2,1.5,2,0.5
341720204,262971,5,3,1,5,4,10,2,1,1.54919333848297,2,1,1,2,1
340220103,426379,7,1,1,1,0,7,1,1,0,1,1,1,1,0
341721602,274675,8,1,2,2,0,16,2,2,0,2,2,2,2,0
341721302,246650,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341720703,223305,7,2,1,2,1,13,1.85714285714286,2,0.349927106111883,1,2,2,2,0
341290101,300724,5,1,1,1,0,5,1,1,0,1,1,1,1,0
341790000,100889,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341790000,109791,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
340770102,273175,3,2,1,2,1,5,1.66666666666667,2,0.471404520791032,1,2,1.5,2,0.5
341722305,256834,6,2,3,5,2,20,3.33333333333333,3,0.74535599249993,5,3,3,3,0
340900103,337455,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340570101,301281,5,2,1,3,2,9,1.8,1,0.979795897113271,3,1,1,3,2
341722602,257552,9,4,2,7,5,39,4.33333333333333,4,1.24721912892465,2,4,4,5,1
342020102,94761,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341721103,240457,1,1,4,4,0,4,4,4,0,4,4,4,4,0
341290107,276770,2,1,1,1,0,2,1,1,0,1,1,1,1,0
