"","taux","scenario","densifyGround","maxBuiltRatio","maximumDensity","PopNotPutUp","UnbuiltArea","AvgCellPop","AreaExpansion","BuiltFloorArea","CellesOpenTiUrb","AvgArtifRate","impact","GrndDensifiedCells"
"177",0,"reduction",TRUE,86,FALSE,0,0,NA,0,0,0,NA,0,0
"178",0,"reduction",TRUE,86,TRUE,0,0,NA,0,0,0,NA,0,0
"179",0,"reduction",TRUE,87,FALSE,0,0,NA,0,0,0,NA,0,0
"180",0,"reduction",TRUE,87,TRUE,0,0,NA,0,0,0,NA,0,0
"181",0,"reduction",TRUE,88,FALSE,0,0,NA,0,0,0,NA,0,0
"182",0,"reduction",TRUE,88,TRUE,0,0,NA,0,0,0,NA,0,0
"183",0,"reduction",TRUE,89,FALSE,0,0,NA,0,0,0,NA,0,0
"184",0,"reduction",TRUE,89,TRUE,0,0,NA,0,0,0,NA,0,0
"185",0,"reduction",TRUE,90,FALSE,0,0,NA,0,0,0,NA,0,0
"186",0,"reduction",TRUE,90,TRUE,0,0,NA,0,0,0,NA,0,0
"187",0,"reduction",TRUE,91,FALSE,0,0,NA,0,0,0,NA,0,0
"188",0,"reduction",TRUE,91,TRUE,0,0,NA,0,0,0,NA,0,0
"189",0,"reduction",TRUE,92,FALSE,0,0,NA,0,0,0,NA,0,0
"190",0,"reduction",TRUE,92,TRUE,0,0,NA,0,0,0,NA,0,0
"191",0,"reduction",TRUE,93,FALSE,0,0,NA,0,0,0,NA,0,0
"192",0,"reduction",TRUE,93,TRUE,0,0,NA,0,0,0,NA,0,0
"193",0,"reduction",TRUE,94,FALSE,0,0,NA,0,0,0,NA,0,0
"194",0,"reduction",TRUE,94,TRUE,0,0,NA,0,0,0,NA,0,0
"195",0,"reduction",TRUE,95,FALSE,0,0,NA,0,0,0,NA,0,0
"196",0,"reduction",TRUE,95,TRUE,0,0,NA,0,0,0,NA,0,0
"197",0,"reduction",TRUE,96,FALSE,0,0,NA,0,0,0,NA,0,0
"198",0,"reduction",TRUE,96,TRUE,0,0,NA,0,0,0,NA,0,0
"199",0,"reduction",TRUE,97,FALSE,0,0,NA,0,0,0,NA,0,0
"200",0,"reduction",TRUE,97,TRUE,0,0,NA,0,0,0,NA,0,0
"201",0,"reduction",TRUE,98,FALSE,0,0,NA,0,0,0,NA,0,0
"202",0,"reduction",TRUE,98,TRUE,0,0,NA,0,0,0,NA,0,0
"203",0,"reduction",TRUE,99,FALSE,0,0,NA,0,0,0,NA,0,0
"204",0,"reduction",TRUE,99,TRUE,0,0,NA,0,0,0,NA,0,0
"205",0,"stable",FALSE,100,FALSE,0,0,NA,0,0,0,NA,0,0
"206",0,"stable",FALSE,100,TRUE,0,0,NA,0,0,0,NA,0,0
"207",0,"stable",FALSE,50,FALSE,0,0,NA,0,0,0,NA,0,0
"208",0,"stable",FALSE,50,TRUE,0,0,NA,0,0,0,NA,0,0
"209",0,"stable",FALSE,51,FALSE,0,0,NA,0,0,0,NA,0,0
"210",0,"stable",FALSE,51,TRUE,0,0,NA,0,0,0,NA,0,0
"211",0,"stable",FALSE,52,FALSE,0,0,NA,0,0,0,NA,0,0
"212",0,"stable",FALSE,52,TRUE,0,0,NA,0,0,0,NA,0,0
"213",0,"stable",FALSE,53,FALSE,0,0,NA,0,0,0,NA,0,0
"214",0,"stable",FALSE,53,TRUE,0,0,NA,0,0,0,NA,0,0
"215",0,"stable",FALSE,54,FALSE,0,0,NA,0,0,0,NA,0,0
"216",0,"stable",FALSE,54,TRUE,0,0,NA,0,0,0,NA,0,0
"217",0,"stable",FALSE,55,FALSE,0,0,NA,0,0,0,NA,0,0
"218",0,"stable",FALSE,55,TRUE,0,0,NA,0,0,0,NA,0,0
"219",0,"stable",FALSE,56,FALSE,0,0,NA,0,0,0,NA,0,0
"220",0,"stable",FALSE,56,TRUE,0,0,NA,0,0,0,NA,0,0
"221",0,"stable",FALSE,57,FALSE,0,0,NA,0,0,0,NA,0,0
"222",0,"stable",FALSE,57,TRUE,0,0,NA,0,0,0,NA,0,0
"223",0,"stable",FALSE,58,FALSE,0,0,NA,0,0,0,NA,0,0
"224",0,"stable",FALSE,58,TRUE,0,0,NA,0,0,0,NA,0,0
"225",0,"stable",FALSE,59,FALSE,0,0,NA,0,0,0,NA,0,0
"226",0,"stable",FALSE,59,TRUE,0,0,NA,0,0,0,NA,0,0
"227",0,"stable",FALSE,60,FALSE,0,0,NA,0,0,0,NA,0,0
"228",0,"stable",FALSE,60,TRUE,0,0,NA,0,0,0,NA,0,0
"229",0,"stable",FALSE,61,FALSE,0,0,NA,0,0,0,NA,0,0
"230",0,"stable",FALSE,61,TRUE,0,0,NA,0,0,0,NA,0,0
"231",0,"stable",FALSE,62,FALSE,0,0,NA,0,0,0,NA,0,0
"232",0,"stable",FALSE,62,TRUE,0,0,NA,0,0,0,NA,0,0
"233",0,"stable",FALSE,63,FALSE,0,0,NA,0,0,0,NA,0,0
"234",0,"stable",FALSE,63,TRUE,0,0,NA,0,0,0,NA,0,0
"235",0,"stable",FALSE,64,FALSE,0,0,NA,0,0,0,NA,0,0
