"","surface","dBestAD","dBestCVM","dBestKS","dBestAIC","CODE_IRIS"
"129",1190,9.08505791617489e-08,9.08505791617489e-08,6.56736985803383e-08,6.56736985803383e-08,"340570107"
"130",1210,7.47877360072126e-08,7.47877360072126e-08,5.37361421788159e-08,5.37361421788159e-08,"340570107"
"131",1230,6.15648849868803e-08,6.15648849868803e-08,4.39684841676697e-08,4.39684841676697e-08,"340570107"
"132",1250,5.0679901088091e-08,5.0679901088091e-08,3.59763005235747e-08,3.59763005235747e-08,"340570107"
"133",1270,4.17194375470049e-08,4.17194375470049e-08,2.94368619674696e-08,2.94368619674696e-08,"340570107"
"134",1290,3.43432294039625e-08,3.43432294039625e-08,2.40861019582609e-08,2.40861019582609e-08,"340570107"
"135",1310,2.82711722698637e-08,2.82711722698637e-08,1.97079535238793e-08,1.97079535238793e-08,"340570107"
"136",1330,2.32726856321815e-08,2.32726856321815e-08,1.61256243443815e-08,1.61256243443815e-08,"340570107"
"137",1350,1.91579567824181e-08,1.91579567824181e-08,1.31944577696022e-08,1.31944577696022e-08,"340570107"
"138",1370,1.57707328615944e-08,1.57707328615944e-08,1.07960914948682e-08,1.07960914948682e-08,"340570107"
"139",1390,1.29823873086522e-08,1.29823873086522e-08,8.83367801851541e-09,8.83367801851541e-09,"340570107"
"140",10,0.00878353262863232,0.00878353262863232,0.00907331406210296,0.00907331406210296,"340570103"
"141",30,0.007230559513235,0.007230559513235,0.00742405110438205,0.00742405110438205,"340570103"
"142",50,0.00595215992071447,0.00595215992071447,0.00607457588519775,0.00607457588519775,"340570103"
"143",70,0.0048997878596962,0.0048997878596962,0.00497039576724432,0.00497039576724432,"340570103"
"144",90,0.00403348051628701,0.00403348051628701,0.00406692327990171,0.00406692327990171,"340570103"
"145",110,0.00332034070476587,0.00332034070476587,0.00332767564981581,0.00332767564981581,"340570103"
"146",130,0.00273328762868893,0.00273328762868893,0.00272280160412681,0.00272280160412681,"340570103"
"147",150,0.00225002851376686,0.00225002851376686,0.00222787595775625,0.00222787595775625,"340570103"
"148",170,0.00185221206126494,0.00185221206126494,0.0018229133094477,0.0018229133094477,"340570103"
"149",190,0.00152473157513541,0.00152473157513541,0.00149156101900227,0.00149156101900227,"340570103"
"150",210,0.00125515129980701,0.00125515129980701,0.00122043887763437,0.00122043887763437,"340570103"
"151",230,0.00103323418436279,0.00103323418436279,0.000998598806931653,0.000998598806931653,"340570103"
"152",250,0.000850553140406247,0.000850553140406247,0.00081708276873172,0.00081708276873172,"340570103"
"153",270,0.000700171031508299,0.000700171031508299,0.000668561034044964,0.000668561034044964,"340570103"
"154",290,0.00057637724214297,0.00057637724214297,0.000547036204100922,0.000547036204100922,"340570103"
"155",310,0.000474470822571297,0.000474470822571297,0.000447601031706283,0.000447601031706283,"340570103"
"156",330,0.00039058197480955,0.00039058197480955,0.00036624026359244,0.00036624026359244,"340570103"
"157",350,0.000321525100783629,0.000321525100783629,0.000299668502024985,0.000299668502024985,"340570103"
"158",370,0.00026467783231505,0.00026467783231505,0.000245197538427482,0.000245197538427482,"340570103"
"159",390,0.000217881449218911,0.000217881449218911,0.000200627801869827,0.000200627801869827,"340570103"
"160",410,0.000179358903987191,0.000179358903987191,0.000164159539044569,0.000164159539044569,"340570103"
"161",430,0.000147647340123779,0.000147647340123779,0.00013432013912414,0.00013432013912414,"340570103"
"162",450,0.000121542541580114,0.000121542541580114,0.000109904668832129,0.000109904668832129,"340570103"
"163",470,0.000100053203812336,0.000100053203812336,8.99272164983115e-05,8.99272164983115e-05,"340570103"
"164",490,8.23632899474496e-05,8.23632899474496e-05,7.35810803405118e-05,7.35810803405118e-05,"340570103"
"165",510,6.78010425702255e-05,6.78010425702255e-05,6.02061933516925e-05,6.02061933516925e-05,"340570103"
"166",530,5.58134743833393e-05,5.58134743833393e-05,4.9262469389236e-05,4.9262469389236e-05,"340570103"
"167",550,4.59453690481697e-05,4.59453690481697e-05,4.03079941651417e-05,4.03079941651417e-05,"340570103"
"168",570,3.78219947834434e-05,3.78219947834434e-05,3.29811804759448e-05,3.29811804759448e-05,"340570103"
"169",590,3.11348742873098e-05,3.11348742873098e-05,2.69861670895927e-05,2.69861670895927e-05,"340570103"
"170",610,2.56300706093622e-05,2.56300706093622e-05,2.20808716873726e-05,2.20808716873726e-05,"340570103"
"171",630,2.10985441398952e-05,2.10985441398952e-05,1.8067215431355e-05,1.8067215431355e-05,"340570103"
"172",650,1.73682145323666e-05,1.73682145323666e-05,1.4783124419389e-05,1.4783124419389e-05,"340570103"
"173",670,1.42974261182273e-05,1.42974261182273e-05,1.20959850414948e-05,1.20959850414948e-05,"340570103"
"174",690,1.17695686695502e-05,1.17695686695502e-05,9.89728896092954e-06,9.89728896092954e-06,"340570103"
"175",710,9.68864923810726e-06,9.68864923810726e-06,8.09825148097506e-06,8.09825148097506e-06,"340570103"
"176",730,7.97564691575599e-06,7.97564691575599e-06,6.62622636441197e-06,6.62622636441197e-06,"340570103"
"177",750,6.56551209167677e-06,6.56551209167677e-06,5.42177233388925e-06,5.42177233388925e-06,"340570103"
"178",770,5.40469625614913e-06,5.40469625614913e-06,4.4362527966754e-06,4.4362527966754e-06,"340570103"
"179",790,4.44911854754841e-06,4.44911854754841e-06,3.62987186920349e-06,3.62987186920349e-06,"340570103"
"180",810,3.6624918241461e-06,3.6624918241461e-06,2.9700673948764e-06,2.9700673948764e-06,"340570103"
"181",830,3.01494469490558e-06,3.01494469490558e-06,2.4301960642053e-06,2.4301960642053e-06,"340570103"
"182",850,2.4818871822215e-06,2.4818871822215e-06,1.98845754162583e-06,1.98845754162583e-06,"340570103"
